userName,score,at,content,clean_content
Pengguna Google,1,2024-09-07 11:55:05,"desain aplikasinya bagus tetapi sistemnya jelek banget, pas mau pendaftaran akun baru dan registrasi katanya nomor hp nya tidak sesuailah. tetapi kode otpnya sudah ada terkirim wkwkwk, niatnya mau bantu supaya cepat dapat antrian online malahan mempersulit juga. sudah itu bikin habis pulsa aja wkwkwk, dimohon untuk tingkatkan sistemnya admin soalnya ini aplikasi dari pemerintah","['desain', 'aplikasinya', 'bagus', 'tetapi', 'sistemnya', 'jelek', 'banget', 'pas', 'pendaftaran', 'akun', 'registrasi', 'nomor', 'handphone', 'tidak', 'sesuailah', 'tetapi', 'kode', 'otpnya', 'terkirim', 'wkwk', 'niatnya', 'bantu', 'cepat', 'antrean', 'online', 'mempersulit', 'bikin', 'habis', 'pulsa', 'wkwk', 'dimohon', 'tingkatkan', 'sistemnya', 'admin', 'aplikasi', 'pemerintah']"
Pengguna Google,2,2024-09-07 11:47:10,"Daftar pke nmr sendiri, kode otp jg udh dikirim meski dg pulsa... hasilnya??? ""NOMOR TIDAK SESUAI""","['daftar', 'pakai', 'nomor', 'kode', 'otp', 'dikirim', 'meski', 'pulsa', 'hasilnya', 'nomor', 'tidak', 'sesuai']"
Pengguna Google,5,2024-09-07 11:39:56,Untuk saat ini aplikaai berjalan bagus. Pertagankan,"['aplikaai', 'berjalan', 'bagus', 'pertagankan']"
Pengguna Google,1,2024-09-07 11:31:14,"Tolong mempercepat dalam pendaftaran, kususnya dalam menerima kode OTP lewat nomor handpone sangat lama sekali. Terima kasih.","['tolong', 'mempercepat', 'pendaftaran', 'menerima', 'kode', 'otp', 'nomor', 'handpone', 'sangat', 'sekali', 'terima', 'kasih']"
Pengguna Google,5,2024-09-07 11:21:44,❤️❤️,[]
Pengguna Google,5,2024-09-07 11:05:51,Ok,['oke']
Pengguna Google,1,2024-09-07 10:38:15,Hp tidak pernah di otak atik tp kenapa gk bisa log in...,"['handphone', 'tidak', 'otak', 'atik', 'tetapi', 'kenapa', 'tidak', 'log']"
Pengguna Google,5,2024-09-07 10:20:17,Oke mantap. Sangat membantu sekali..,"['oke', 'mantap', 'sangat', 'membantu', 'sekali']"
Pengguna Google,5,2024-09-07 10:19:42,Keren,['keren']
Pengguna Google,1,2024-09-07 10:14:45,Aplikasi taii padahal pulsa ada kode otp udh msuk tapi tetap ngga bisa pdahal pulsa jga SDH terkuras,"['aplikasi', 'tai', 'padahal', 'pulsa', 'kode', 'otp', 'masuk', 'tapi', 'tidak', 'padahal', 'pulsa', 'terkuras']"
Pengguna Google,5,2024-09-07 09:59:36,Sangat baik pelayanannya,"['sangat', 'baik', 'pelayanannya']"
Pengguna Google,1,2024-09-07 09:53:58,"Apk bikin emosi, masak verifikasi nomor telpon gak bisa bisa. Mana di tinggal keluar harus ngisi data ulang.","['bikin', 'emosi', 'masak', 'verifikasi', 'nomor', 'telepon', 'tidak', 'tinggal', 'mengisi', 'data', 'ulang']"
Pengguna Google,3,2024-09-07 09:45:49,"Izin bertanya. Mengapa pas daftar JKN mobile, nomor HP tidak sesuai dengan BPJS? Padahal nomornya sudah benar dan sudah dpt kode otp. Pas di verifikasi ada tulisan ""... Maaf nomer HP tidak sesuai dengan BPJS... untuk perubahan nomor HP dapat diubah melalui kantor cabang, BPJS keliling, mall Pelayanan Publik,dll."" Itu solusi nya bagaimana ya.... Soalnya belum pernah mendaftarkan nomor HP ke BPJS.","['izin', 'mengapa', 'pas', 'daftar', 'jkn', 'mobile', 'nomor', 'handphone', 'tidak', 'sesuai', 'badan', 'penyelenggara', 'jaminan', 'sosial', 'padahal', 'nomornya', 'benar', 'kode', 'otp', 'pas', 'verifikasi', 'tulisan', 'maaf', 'nomer', 'handphone', 'tidak', 'sesuai', 'badan', 'penyelenggara', 'jaminan', 'sosial', 'perubahan', 'nomor', 'handphone', 'diubah', 'kantor', 'cabang', 'badan', 'penyelenggara', 'jaminan', 'sosial', 'keliling', 'mal', 'pelayanan', 'publik', 'solusi', 'bagaimana', 'belum', 'mendaftarkan', 'nomor', 'handphone', 'badan', 'penyelenggara', 'jaminan', 'sosial']"
Pengguna Google,5,2024-09-07 09:43:58,Jadi Lebih Mudah. Semoga Lebih Baik Lagi Serba Online yg masih harus ke pusat.,"['lebih', 'mudah', 'semoga', 'lebih', 'baik', 'serba', 'online', 'pusat']"
Pengguna Google,1,2024-09-07 09:38:34,Tidak bisa mendaftarkan diri chapta tidak tampil . Tolong solusinya saya ingin cetak kartu indonesia sehat ..,"['tidak', 'mendaftarkan', 'chapta', 'tidak', 'tampil', 'tolong', 'solusinya', 'saya', 'cetak', 'kartu', 'indonesia', 'sehat']"
Pengguna Google,1,2024-09-07 09:35:27,Nunggu sampai 4jam buat minta otp melalui SMS tidak masuk masuk tolong perbaiki lagi,"['menunggu', 'jam', 'otp', 'sms', 'tidak', 'masuk', 'masuk', 'tolong', 'perbaiki']"
Pengguna Google,5,2024-09-07 09:33:02,Luar biasa,[]
Pengguna Google,2,2024-09-07 09:29:53,"Gabisa daftar BPJS pake app mobile JKN, chat ke admin yg di Instagram bilang nya lagi gabisa, ditanya ready nya kapan dijawab masih belom tau, hadeh capedeh, di kira semua orang punya waktu buat daftar manual ke kantor cabang, udah 2024 tapi pelayanan masih harus manual, tolong di upgrade segera dong bpjs kesehatan nih","['tidak', 'daftar', 'badan', 'penyelenggara', 'jaminan', 'sosial', 'pakai', 'app', 'mobile', 'jkn', 'chat', 'admin', 'instagram', 'bilang', 'tidak', 'ready', 'belum', 'aduh', 'capedeh', 'orang', 'daftar', 'manual', 'kantor', 'cabang', 'tapi', 'pelayanan', 'manual', 'tolong', 'peningkatan', 'badan', 'penyelenggara', 'jaminan', 'sosial', 'kesehatan']"
Pengguna Google,1,2024-09-07 09:20:23,"UI Doang Keren, SMS buat kode verifikasi ngak pernah masuk, sama aja boong lebih baik mendaftar langsung ditempat","['oi', 'doang', 'keren', 'sms', 'kode', 'verifikasi', 'tidak', 'masuk', 'bohong', 'lebih', 'baik', 'mendaftar', 'langsung', 'ditempat']"
Pengguna Google,2,2024-09-07 09:20:02,"Klw gini susahnya nyingkronkan data, orang sakit jantung dah mati duluan,","['susahnya', 'nyingkronkan', 'data', 'orang', 'sakit', 'jantung', 'mati', 'lebih']"
Pengguna Google,5,2024-09-07 09:18:25,Sangat gampang dipelajari,"['sangat', 'gampang', 'dipelajari']"
Pengguna Google,1,2024-09-07 09:17:03,"DAFTAR AKUN PAKE NOMOR BARU DIBILANG UDAH ADA YG PAKE, PAKE NOMER LAIN DIKIRIM VERIFIKASI OTP TAPI GAK MASUK SAMSEK. JUAANCOK ANGGARAN BESAR TIAP BIKIN APLIKASI ATAU WEB ASAL ASALAN","['daftar', 'akun', 'pakai', 'nomor', 'dibilang', 'pakai', 'pakai', 'nomer', 'dikirim', 'verifikasi', 'otp', 'tapi', 'tidak', 'masuk', 'sekali', 'juaancok', 'anggaran', 'bikin', 'aplikasi', 'web', 'asalan']"
Pengguna Google,1,2024-09-07 09:06:16,gada masuk notif buat login.aplikaai gajelas bgt,"['tidak', 'masuk', 'notifikasi', 'login', 'aplikaai', 'tidak', 'banget']"
Pengguna Google,1,2024-09-07 09:03:08,"ini aplikasi nya ga bisa ngirim kode otp atau gimana? saya udah coba berkali kali dan gonta ganti nomer biar bisa daftar tapi kode OTP nya ga masuk² di sms, mohon bantuannya","['aplikasi', 'tidak', 'mengirim', 'kode', 'otp', 'bagaimana', 'saya', 'coba', 'berkali', 'kali', 'gonta', 'ganti', 'nomer', 'biar', 'daftar', 'tapi', 'kode', 'otp', 'tidak', 'masuk', 'sms', 'mohon', 'bantuannya']"
Pengguna Google,1,2024-09-07 08:59:13,"setelah di update malah jadi tidak bisa login, kata sandi salah terus.","['pembaruan', 'tidak', 'login', 'sandi', 'salah']"
Pengguna Google,5,2024-09-07 08:52:15,Mantap,['mantap']
Pengguna Google,2,2024-09-07 08:38:30,gabisa login padahal kata sandi bener coba diperbaikin lgi,"['tidak', 'login', 'padahal', 'sandi', 'benar', 'coba', 'diperbaikin']"
Pengguna Google,1,2024-09-07 08:02:34,Saya Mau dftar tpi kode verifikasinya gak muncul muncul smsnya . Padahal nomor saya aktif . Tolong perbaiki lagi untuk sistem verifikasinya biar lebih gampang buat daftar,"['saya', 'dftar', 'tetapi', 'kode', 'verifikasinya', 'tidak', 'muncul', 'muncul', 'smsnya', 'padahal', 'nomor', 'saya', 'aktif', 'tolong', 'perbaiki', 'sistem', 'verifikasinya', 'biar', 'lebih', 'gampang', 'daftar']"
Pengguna Google,1,2024-09-07 08:02:08,"semakin menyusahkan pasien, pelayanan buruk rs","['menyusahkan', 'pasien', 'pelayanan', 'buruk', 'rumah', 'sakit']"
Pengguna Google,5,2024-09-07 07:54:09,ok,['oke']
Pengguna Google,4,2024-09-07 07:40:59,Tidak bisa ambil nomor antrian padahal rujukan sudah diperbaharui.,"['tidak', 'ambil', 'nomor', 'antrean', 'padahal', 'rujukan', 'diperbaharui']"
Pengguna Google,5,2024-09-07 07:18:02,Membantu,['membantu']
Pengguna Google,5,2024-09-07 07:06:55,Cepat perubqhan data,"['cepat', 'perubqhan', 'data']"
Pengguna Google,5,2024-09-07 07:02:38,Sangat bagus,"['sangat', 'bagus']"
Pengguna Google,5,2024-09-07 06:46:05,Mudah di akses dan bermanfaat,"['mudah', 'akses', 'bermanfaat']"
Pengguna Google,5,2024-09-07 06:36:15,Sangat membantu,"['sangat', 'membantu']"
Pengguna Google,5,2024-09-07 06:33:00,"Sejauh oke, mudah untuk digunakan","['oke', 'mudah']"
Pengguna Google,5,2024-09-07 06:30:30,memudahkan dalam kimunikasi,"['memudahkan', 'kimunikasi']"
Pengguna Google,5,2024-09-07 06:27:25,Terbaik,['terbaik']
Pengguna Google,1,2024-09-07 06:20:31,Tolong ini aplikasi ga guna bangetttt capek,"['tolong', 'aplikasi', 'tidak', 'banget', 'cape']"
Pengguna Google,5,2024-09-07 06:11:57,Untuk tindakan mata sangat baik cuma waktunya kaca mata jadi nya sangat lama sekali. (tidak lazim ) jadi nya sampai sekarang belum juga jadi,"['tindakan', 'mata', 'sangat', 'baik', 'kaca', 'mata', 'sangat', 'sekali', 'tidak', 'lazim', 'belum']"
Pengguna Google,5,2024-09-07 06:07:25,cepat dan tanggap,"['cepat', 'tanggap']"
Pengguna Google,5,2024-09-07 06:06:09,Pelayanan yg memudahkan pesertan jkn kesehatan,"['pelayanan', 'memudahkan', 'pesertan', 'jkn', 'kesehatan']"
Pengguna Google,5,2024-09-07 06:03:20,Mempermudah pokoknya,"['mempermudah', 'pokoknya']"
Pengguna Google,1,2024-09-07 05:53:03,"Aplikasi nggak jelas kode otp nggak pernah di kirim-kirim, nunggu pengiriman otp ulang lama banget lagi sampe 300 detik","['aplikasi', 'enggak', 'kode', 'otp', 'enggak', 'kirim', 'kirim', 'menunggu', 'pengiriman', 'otp', 'ulang', 'banget', 'detik']"
Pengguna Google,1,2024-09-07 05:46:20,"Apa gunanya online, jika ujung2nya ofline","['gunanya', 'online', 'ujungnya', 'ofline']"
Pengguna Google,4,2024-09-07 05:19:27,Sangat membantu,"['sangat', 'membantu']"
Pengguna Google,2,2024-09-07 05:09:45,Kenapa tidak bisa mengintal,"['kenapa', 'tidak', 'mengintal']"
Pengguna Google,5,2024-09-07 05:05:17,"Terimakasih m jkn, aplikasinya mudah digunakan semoga kedepannya minim kendala","['terima', 'kasih', 'jkn', 'aplikasinya', 'mudah', 'semoga', 'kedepannya', 'minim', 'kendala']"
Pengguna Google,5,2024-09-07 04:55:48,Good,['good']
Pengguna Google,1,2024-09-07 04:45:53,"Saya gak tau informasi sebelumnya berobat biasa aja pakai kartu, setelah bulan Agustus ini mau berobat ternyata harus pakai aplikasi yang mana membuat sulit bagi saya kendala di nomor hp, akhirnya kita kembali dan TDK jadi berobat. Knp skrg BPJS menyulitkan, klo ada yg urgen mau berobat masa hrs download aplikasi dlu dan blm tentu semua orang bisa gk ada kendala seperti saya. Jujur sangat memberatkan kalo pakai aplikasi seperti ini. Minim informasi. Seharusnya kembali seperti dlu.","['saya', 'tidak', 'informasi', 'berobat', 'pakai', 'kartu', 'agustus', 'berobat', 'pakai', 'aplikasi', 'sulit', 'saya', 'kendala', 'nomor', 'handphone', 'kita', 'tidak', 'berobat', 'kenapa', 'badan', 'penyelenggara', 'jaminan', 'sosial', 'menyulitkan', 'urgen', 'berobat', 'unduh', 'aplikasi', 'belum', 'orang', 'tidak', 'kendala', 'saya', 'jujur', 'sangat', 'memberatkan', 'pakai', 'aplikasi', 'minim', 'informasi']"
Pengguna Google,1,2024-09-07 04:38:17,Aplikasi tidak kompetible di hp saya. Parah APK nya,"['aplikasi', 'tidak', 'kompetible', 'handphone', 'saya', 'parah']"
Pengguna Google,5,2024-09-07 04:33:06,Semoga makin maju n bertahan,"['semoga', 'maju', 'bertahan']"
Pengguna Google,1,2024-09-07 04:29:50,kenapa verifikasi pake nomor handphone lama bngt ...mau daftar aja d persulit pas verifikasi,"['kenapa', 'verifikasi', 'pakai', 'nomor', 'handphone', 'banget', 'daftar', 'persulit', 'pas', 'verifikasi']"
Pengguna Google,3,2024-09-07 04:29:00,Saya tidak bisa daftar di karenakan kode otp tidak terkirim sudah ganti nomer tetap sama saja tidak ada kode otp yg masuk mohon bantuannya,"['saya', 'tidak', 'daftar', 'karenakan', 'kode', 'otp', 'tidak', 'terkirim', 'ganti', 'nomer', 'tidak', 'kode', 'otp', 'masuk', 'mohon', 'bantuannya']"
Pengguna Google,1,2024-09-07 04:17:27,"Aplikasi eror trus,, tulisanya offline mulu","['aplikasi', 'eror', 'tulisanya', 'offline', 'melulu']"
Pengguna Google,1,2024-09-07 04:08:57,Mau daftar ajh susah otp gk dikirim mulu Perbaiki dong sistem otp nya,"['daftar', 'susah', 'otp', 'tidak', 'dikirim', 'melulu', 'perbaiki', 'sistem', 'otp']"
Pengguna Google,4,2024-09-07 04:00:31,Mobile JKN sangat membantu saya terima kasih,"['mobile', 'jkn', 'sangat', 'membantu', 'saya', 'terima', 'kasih']"
Pengguna Google,5,2024-09-07 04:00:22,Good,['good']
Pengguna Google,5,2024-09-07 04:00:01,Terimakasih,"['terima', 'kasih']"
Pengguna Google,5,2024-09-07 03:41:54,Sangat membantu,"['sangat', 'membantu']"
Pengguna Google,1,2024-09-07 03:30:19,"Ini aplikasi belum layak di publikasikan ka masyarakat, saya mau mengakhiri registrasi, nomor hp yang telah di daftarkan tidak sesuai, ini mempersulit masyarakat namanya, mohon di perbaiki lagi aplikasinya.","['aplikasi', 'belum', 'layak', 'publikasikan', 'kakak', 'masyarakat', 'saya', 'registrasi', 'nomor', 'handphone', 'daftarkan', 'tidak', 'sesuai', 'mempersulit', 'masyarakat', 'namanya', 'mohon', 'perbaiki', 'aplikasinya']"
Pengguna Google,4,2024-09-07 03:23:52,"tolong sya tidak bisa login dan selalu kembali sendri, dan tidak bisa di gunung apli kasi jkn nya mohon bntuanya","['tolong', 'saya', 'tidak', 'login', 'tidak', 'gunung', 'apli', 'kasih', 'jkn', 'mohon', 'bntuanya']"
Pengguna Google,5,2024-09-07 03:23:06,Mantap,['mantap']
Pengguna Google,5,2024-09-07 03:20:01,Mantul....mantap betul,"['mantap', 'betul', 'mantap', 'betul']"
Pengguna Google,5,2024-09-07 03:10:44,Trimakasih 🙏,"['terima', 'kasih']"
Pengguna Google,5,2024-09-07 03:05:28,Mantap,['mantap']
Pengguna Google,3,2024-09-07 03:03:55,"Bintang 3 saja,soalnya pas aplikasi mau di pake selalu keluar notif DEMI KEAMANAN APLIKASI TIDAK TERBUKA DI PANSEL YG SUDAH DI ROOT..gmn sih di ROOT jg enggak ini hp","['bintang', 'pas', 'aplikasi', 'pakai', 'notifikasi', 'keamanan', 'aplikasi', 'tidak', 'terbuka', 'pansel', 'root', 'bagaimana', 'root', 'tidak', 'handphone']"
Pengguna Google,5,2024-09-07 02:55:13,Berobat di RSPAD sejak 2012 s.d 2023 sangat memberi kesehatan terjamin,"['berobat', 'rspad', 'si', 'sangat', 'kesehatan', 'terjamin']"
Pengguna Google,5,2024-09-07 02:46:15,Mantap,['mantap']
Pengguna Google,5,2024-09-07 02:46:00,Ok bagus keren sangat membantu,"['oke', 'bagus', 'keren', 'sangat', 'membantu']"
Pengguna Google,1,2024-09-07 02:42:36,Pengiriman kode verifikasi nya lama,"['pengiriman', 'kode', 'verifikasi']"
Pengguna Google,2,2024-09-07 02:42:06,Ber tele tele alias membingungkan 😭😭😭,"['ber', 'tele', 'tele', 'alias', 'membingungkan']"
Pengguna Google,5,2024-09-07 02:40:55,Good,['good']
Pengguna Google,1,2024-09-07 02:37:58,Ini gimna sii masa ga bisa daftar aneh banget,"['bagaimana', 'tidak', 'daftar', 'aneh', 'banget']"
Pengguna Google,1,2024-09-07 02:33:19,tolong perbaiki lagi aplikasi jkn slalu ada notifikasi aplikasi tidak berjalan,"['tolong', 'perbaiki', 'aplikasi', 'jkn', 'notifikasi', 'aplikasi', 'tidak', 'berjalan']"
Pengguna Google,1,2024-09-07 02:32:05,Tidak bisa dibuka.,"['tidak', 'dibuka']"
Pengguna Google,1,2024-09-07 02:25:33,Pulsa kesedot kode otp nya gk muncul2 taiiii,"['pulsa', 'kesedot', 'kode', 'otp', 'tidak', 'muncul', 'tai']"
Pengguna Google,3,2024-09-07 02:23:21,"kak kenapa pas mau daftar nomor telefon tidak sesuai terus, padahal nomor teleponnya sudah benar. mohon untuk penjelasannya","['kak', 'kenapa', 'pas', 'daftar', 'nomor', 'telefon', 'tidak', 'sesuai', 'padahal', 'nomor', 'teleponnya', 'benar', 'mohon', 'penjelasannya']"
Pengguna Google,1,2024-09-07 02:19:54,Jlk bgt gabisa buka apkmya,"['jlk', 'banget', 'tidak', 'buka', 'apkmya']"
Pengguna Google,1,2024-09-07 02:19:06,"Tolol ne yang buat apk, gak bisa di buka","['tolol', 'tidak', 'buka']"
Pengguna Google,2,2024-09-07 02:15:31,Ribet daftar nya,"['ribet', 'daftar']"
